COMID,Lat,Lon,Elev_m
200001,-10.914489190999973,142.49432704600008,0.0
200002,-10.968981288999942,142.5185765430001,0.0
200003,-10.947604540999976,142.32792949500003,0.0
200004,-10.983963715999948,142.44225442200002,0.0
200005,-11.044967705999966,142.66357111800005,0.0
200006,-11.014121233999958,142.27195147600003,0.0
200007,-11.124976113999935,142.37987052500011,0.0
200008,-11.127194405999944,142.2887025770001,0.0
200009,-11.128601441999933,142.31598432400006,0.0
200010,-11.138023407999981,142.35679425700005,0.0
200011,-11.137773058999926,142.39661782000007,0.0
200012,-11.154192458999944,132.51465881700005,0.0
200013,-11.154008136999948,142.35944355100003,0.0
200014,-11.21171019299993,142.76711401900002,0.0
200015,-11.222849460999953,131.98743957300007,0.0
200016,-11.129393704999927,142.19486631300003,0.0
200017,-11.18283895899998,142.5686676360001,0.0
200018,-11.30423933399993,132.40192324500003,0.0
200019,-11.291083605999972,132.30044968900006,0.0
200020,-11.313083785999936,131.09673562700004,0.0
200021,-11.30607564099995,142.60743761700007,0.0
200022,-11.31736710599995,130.5163168370001,0.0
200023,-11.350554823999971,131.19992113500007,0.0
200024,-11.315062658999977,131.29063912300012,0.0
200025,-11.333953218999966,142.69814692400007,0.0
200026,-11.343884484999933,131.39172740300012,0.0
200027,-11.373014557999966,142.1771739940001,0.0
200028,-11.407004830999938,142.18786132900004,0.0
200029,-11.410390649999954,142.22485015900008,0.0
200030,-11.404315018999966,130.2568569780001,0.0
200031,-11.387699018999967,131.22679421500004,0.0
200032,-11.43046876099993,132.89466147200005,0.0
200033,-11.416798851999943,142.13901176000002,0.0
200034,-11.41355512499996,131.02355169600003,0.0
200035,-11.434105543999976,142.23382023200008,0.0
200036,-11.454705066999963,131.03500991700002,0.0
200037,-11.377654419999942,142.55937272200003,0.0
200038,-11.310539765999977,142.4321697590001,0.0
200039,-11.465080841999963,131.20845870000005,0.0
200040,-11.483879356999978,142.5686987570001,0.0
200041,-11.419529868999973,142.68400133300008,0.0
200042,-11.474016430999939,130.591522929,0.0
200043,-11.52668265699998,142.13695119800002,0.0
200044,-11.476060631999928,130.6574854710001,0.0
200045,-11.511316551999926,130.74679943600006,0.0
200046,-11.544556005999937,130.8101186770001,0.0
200047,-11.56104165599993,142.25562498800002,0.0
200048,-11.552920231999963,142.29537548700011,0.0
200049,-11.515756901999964,142.61510013300006,0.0
200050,-11.579084979999948,130.3705590620001,0.0
200051,-11.527265082999975,131.06696938800008,0.0
200052,-11.503654402999928,131.2553485410001,0.0
200053,-11.589764382999931,142.1121025530001,0.0
200054,-11.467398080999942,130.93243694600005,0.0
200055,-11.590757640999982,142.22809839700005,0.0
200056,-11.614790114999948,142.18799241800002,0.0
200057,-11.61995068899995,132.6633384380001,0.0
200058,-11.599103361999937,130.8821402960001,0.0
200059,-11.630967295999938,132.90562670000008,0.0
200060,-11.584275445999936,132.93605068800002,0.0
200061,-11.62349199099998,142.04986824200012,0.0
200062,-11.64745146499996,142.46706570300012,0.0
200063,-11.649160876999929,132.645712752,0.0
200064,-11.63760502699995,142.23857335800005,0.0
200065,-11.646076863999951,142.3651380970001,0.0
200066,-11.652099525999972,142.40869659100008,0.0
200067,-11.637305926999943,142.08565874200008,0.0
200068,-11.677292806999958,132.93007767100005,0.0
200069,-11.686040232999972,132.9418324720001,0.0
200070,-11.675782887999958,142.5229191100001,0.0
200071,-11.689428792999934,142.34801279500005,0.0
200072,-11.698198852999951,142.3830970890001,0.0
200073,-11.689924598999937,142.83610864000002,0.0
200074,-11.710352885999953,142.84717656200007,0.0
200075,-11.711448471999972,130.14762265900004,0.0
200076,-11.713451418999966,132.91821199100002,0.0
200077,-11.70989557799993,133.00580040600005,0.0
200078,-11.664629831999946,142.2074538380001,0.0
200079,-11.716925269999933,142.29861860900007,0.0
200080,-11.726658853999936,132.92257109800005,0.0
200081,-11.724452670999938,130.4442573010001,0.0
200082,-11.736122896999973,133.18884677500012,0.0
200083,-11.746324823999942,130.66706076200012,0.0
200084,-11.74863443099997,142.8325940730001,0.0
200085,-11.747762984999952,132.90079429600007,0.0
200086,-11.756794851999928,142.30844594600012,0.0
200087,-11.77082112499994,142.01706500000012,0.0
200088,-11.761100435999936,142.12125765000008,0.0
200089,-11.775035465999963,130.7586370250001,0.0
200090,-11.773368474999927,133.30778776300008,0.0
200091,-11.757367047999935,132.96894345400005,0.0
200092,-11.79943067499994,131.14571665000005,0.0
200093,-11.810339726999928,142.82796650600005,0.0
200094,-11.778698256999974,133.22133623500008,0.0
200095,-11.794450843999925,142.07247897600007,0.0
200096,-11.816195113999981,142.52764783100008,0.0
200097,-11.810635296999976,131.063972228,0.0
200098,-11.785266982999929,132.85320179400003,0.0
200099,-11.838358003999929,142.51257873800012,0.0
200100,-11.850112477999971,132.8572341910001,0.0
200101,-11.794174862999967,132.68818194100004,0.0
200102,-11.837473336999949,142.41645347600002,0.0
200103,-11.86836352399996,142.36242141200012,0.0
200104,-11.87548346799997,132.6819472960001,0.0
200105,-11.859608684999955,133.79848881500004,0.0
200106,-11.863877016999936,132.707602704,0.0
200107,-11.880548062999935,132.69681302000004,0.0
200108,-11.85605894899993,131.0100631030001,0.0
200109,-11.873421613999938,133.50561409700003,0.0
200110,-11.86991597499997,142.21052515400004,0.0
200111,-11.860525425999981,132.79190461500002,0.0
200112,-11.897568879999938,133.7346567200001,0.0
200113,-11.888246725999977,133.75633620200006,0.0
200114,-11.888494915999956,142.2859048480001,0.0
200115,-11.842305114999931,132.96316697400005,0.0
200116,-11.893597158999967,132.73059041600004,0.0
200117,-11.895263788999955,133.46068982200006,0.0
200118,-11.908116504999953,133.3982482350001,0.0
200119,-11.901076939999939,133.32459161200006,0.0
200120,-11.900586189999956,132.7796265510001,0.0
200121,-11.904655375999937,133.49354084300012,0.0
200122,-11.902222051999956,132.67843578600002,0.0
200123,-11.929378588999953,143.06113814900004,0.0
200124,-11.924573172999942,133.32798738100007,0.0
200125,-11.929817645999947,141.96409239000002,0.0
200126,-11.954047085999946,142.81575436800006,0.0
200127,-11.95451490299996,134.05840360800005,0.0
200128,-11.926986170999953,142.1725374,0.0
200129,-11.971403092999935,134.1436125030001,0.0
200130,-11.934093546999975,142.735782738,0.0
200131,-11.976785426999982,142.83510977700007,0.0
200132,-11.977748866999946,142.7406377640001,0.0
200133,-11.976573630999951,142.7914091120001,0.0
200134,-11.958961942999963,142.9074846970001,0.0
200135,-11.962504751999973,142.96987332000003,0.0
200136,-11.98659220999997,142.10009542000012,0.0
200137,-11.985228846999973,142.1282547080001,0.0
200138,-11.959973714999933,142.263180647,0.0
200139,-11.950461551999979,133.682535539,0.0
200140,-11.959522783999944,133.40888049600005,0.0
200141,-11.965460460999964,133.91984341900002,0.0
200142,-12.003460613999948,133.59567307300006,0.0
200143,-12.01532584499995,142.14072476600006,0.0
200144,-12.018293681999978,132.860772257,0.0
200145,-12.031670014999975,142.0552674390001,0.0
200146,-12.030871121999951,133.38329779600008,0.0
200147,-12.005863535999936,134.04794053800003,0.0
200148,-12.032780487999958,136.48746620400004,0.0
200149,-12.03765534699994,141.8238154810001,0.0
200150,-12.03304606699993,132.9676603250001,0.0
200151,-12.03555973999994,142.19841382900006,0.0
200152,-11.999356678999959,142.37292842800002,0.0
200153,-12.02649002499993,142.82198668400008,0.0
200154,-12.034512882999934,142.56372662600006,0.0
200155,-12.058281103999946,142.5624743090001,0.0
200156,-12.038808002999929,133.41704843700006,0.0
200157,-12.067454492999957,142.53899857300007,0.0
200158,-12.048550890999934,134.27386096600003,0.0
200159,-12.054954850999934,132.89906268100003,0.0
200160,-11.980841908999935,133.81735043100002,0.0
200161,-12.01091424699996,133.97085302000005,0.0
200162,-12.052216979999969,133.111058307,0.0
200163,-12.086554294999928,134.63509273400007,0.0
200164,-12.073270338999976,142.249601309,0.0
200165,-12.08907353199993,142.5476872490001,0.0
200166,-12.096692263999955,133.13329642500003,0.0
200167,-12.100760884999943,133.055655171,0.0
200168,-12.037809722999953,132.7502558770001,0.0
200169,-12.081467525999926,132.98489565600005,0.0
200170,-12.101893249999932,133.92501369000001,0.0
200171,-12.084486846999937,142.47216429700006,0.0
200172,-12.11161307499998,142.271153077,0.0
200173,-12.064270270999941,133.6006993430001,0.0
200174,-12.115776101999927,135.56681463600012,0.0
200175,-12.113351928999975,133.21235087500008,0.0
200176,-11.99513346599997,133.729312197,0.0
200177,-12.110491167999953,143.05707580400008,0.0
200178,-12.134294539999928,133.24542233400007,0.0
200179,-12.109958958999925,142.00816429000008,0.0
200180,-12.119610957999953,133.080053764,0.0
200181,-12.140616114999943,143.0749349990001,0.0
200182,-12.13865545799996,133.696662682,0.0
200183,-12.130066401999954,142.4773595270001,0.0
200184,-12.13400540999993,132.5833729840001,0.0
200185,-12.144934163999949,143.0370116910001,0.0
200186,-12.144760204999955,143.05792242600012,0.0
200187,-12.113175468999941,142.05345099300007,0.0
200188,-12.135495448999961,142.29716904600002,0.0
200189,-12.133499059999963,142.37421297000003,0.0
200190,-12.153899944999978,134.53750465200005,0.0
200191,-12.13352580999998,134.5897357760001,0.0
200192,-12.091871092999952,142.16604612700007,0.0
200193,-12.170363275999932,134.58161328300002,0.0
200194,-12.161880047999944,134.13899966000008,0.0
200195,-12.112540379999928,134.40274130000012,0.0
200196,-12.177031051999961,135.42425174700008,0.0
200197,-12.183710689999941,134.561885662,0.0
200198,-12.157173640999929,134.81771355700005,0.0
200199,-12.183580164999967,134.600703328,0.0
200200,-12.123564965999947,133.28435371600006,0.0
