COMID,Lat,Lon,Elev_m
900001,43.37307747300008,-110.01226944299998,0.0
900002,43.362443563000056,-109.95440432999999,0.0
900003,43.36437512400005,-109.86495685299997,0.0
900004,43.33127484400006,-110.08959082599995,0.0
900005,43.33526707300007,-110.00997561199995,0.0
900006,43.32455707400004,-109.86687569599997,0.0
900007,43.303577062000045,-109.79463718599999,0.0
900008,43.26299975200004,-110.01811936999997,0.0
900009,43.225044841000056,-110.03254789099998,0.0
900010,43.21138276500005,-110.00527468099995,0.0
900011,43.23155342000007,-109.98480018799995,0.0
900012,43.24072970100008,-109.78943592999997,0.0
900013,43.14479196600007,-110.05958333899997,0.0
900014,43.170829283000046,-110.02262319399995,0.0
900015,43.15180916800006,-121.68496884599995,0.0
900016,43.11645833600005,-121.74645833499994,0.0
900017,43.16318940700006,-121.86333874299999,0.0
900018,43.15209364000003,-121.82058792899994,0.0
900019,43.10369069200004,-121.82801374499996,0.0
900020,43.10950747600003,-121.78935611399999,0.0
900021,43.09244955500003,-121.84417170699999,0.0
900022,43.089493265000044,-121.82887561799998,0.0
900023,43.08317222000005,-121.88597733599994,0.0
900024,43.07432853600005,-121.95099834999996,0.0
900025,43.06541667100004,-121.925833335,0.0
900026,43.064381120000064,-121.89466438399995,0.0
900027,43.06100183400008,-121.93518810799998,0.0
900028,43.06095252600005,-121.85388300699998,0.0
900029,43.03817156400004,-121.84165187299999,0.0
900030,43.059312255000066,-121.83168450699998,0.0
900031,43.06781615400007,-109.75852080399994,0.0
900032,43.03736040300004,-121.88153383099996,0.0
900033,43.052439107000055,-109.69963234199997,0.0
900034,43.03501390500003,-110.21010163199998,0.0
900035,43.06978011100006,-110.17095338899998,0.0
900036,43.03486747100004,-121.97031120499997,0.0
900037,43.01103621500005,-110.15870150999996,0.0
900038,43.01519775600008,-110.27345639999999,0.0
900039,43.12864397700008,-121.54143377899999,0.0
900040,43.00984358800008,-121.50247396499998,0.0
900041,42.99268434900006,-121.62658834899997,0.0
900042,43.039299002000064,-121.59857378499999,0.0
900043,42.98617024200007,-121.53466607899998,0.0
900044,43.00943706000004,-109.87023846799997,0.0
900045,43.00420326900007,-109.92120305599997,0.0
900046,42.987416962000054,-110.13191522599999,0.0
900047,43.054797664000034,-110.08953847299995,0.0
900048,42.969524282000066,-121.66739739199994,0.0
