COMID,Lat,Lon,Elev_m
900001,38.28160152300006,-105.94184465099994,0.0
900002,38.31701523900006,-105.98974784499995,0.0
900003,38.26256438000007,-105.92999254599994,0.0
900004,38.23985074800004,-106.11282135999994,0.0
900005,38.23241120200004,-106.00166932399998,0.0
900006,38.20916475000007,-106.07158599999997,0.0
900007,38.214071845000035,-106.30052498499998,0.0
900008,38.17624292900007,-106.32258403199995,0.0
900009,38.16223468800007,-106.30020379399997,0.0
900010,38.16287537100004,-106.29225226999995,0.0
900011,38.18644456100003,-106.28098389699994,0.0
900012,38.15237736700004,-106.32526520999994,0.0
900013,38.172108680000065,-106.45815964099995,0.0
900014,38.13452358500007,-106.34944445999997,0.0
900015,38.131003717000056,-106.40373476399998,0.0
900016,38.130299001000026,-106.33880494299996,0.0
900017,38.124252279000075,-106.46397577899995,0.0
900018,38.11073751400005,-106.47624627899995,0.0
900019,38.11015612700004,-106.50547599499998,0.0
900020,38.11063382800006,-106.48608905999998,0.0
900021,38.111656520000054,-106.35524943999997,0.0
900022,38.092464939000024,-106.50573568299995,0.0
900023,38.08024712800005,-106.53347855799996,0.0
900024,38.081359028000065,-106.17698067299995,0.0
900025,38.11457409900004,-106.23541656299994,0.0
900026,38.163497722000045,-105.90091670799995,0.0
900027,38.09675712500007,-105.88791280799995,0.0
900028,38.06215456000007,-105.87995607899995,0.0
900029,38.06723362900004,-105.87272543799997,0.0
900030,38.06417573700003,-106.53974427199995,0.0
900031,38.04435361800006,-106.56579132799999,0.0
900032,38.020631913000045,-106.68956592699999,0.0
900033,38.03958587900007,-106.61428361899999,0.0
900034,38.01315421900006,-106.66600671599997,0.0
900035,38.051279917000045,-106.01980463799998,0.0
900036,38.03509064900004,-105.97620875699994,0.0
900037,38.01689527700006,-105.87680785799995,0.0
900038,37.99233411400007,-105.85261012599995,0.0
900039,38.000460443000065,-106.71527114399998,0.0
900040,37.974310213000024,-105.86461426899996,0.0
900041,37.972864419000075,-105.86024176099994,0.0
900042,37.970180791000075,-106.67210012799995,0.0
900043,37.971636868000076,-106.15379867099995,0.0
900044,37.94375301500003,-106.09521626299994,0.0
900045,37.94010979700005,-105.95734247499996,0.0
900046,37.96592283000007,-105.95092696299997,0.0
900047,37.92847927100007,-106.09247627399998,0.0
900048,37.92334404600007,-105.94439885199995,0.0
900049,37.92597648700007,-106.06305674799995,0.0
900050,38.00922647200008,-106.06718959499995,0.0
900051,37.917722774000026,-106.04148562099999,0.0
900052,37.91211427400003,-106.01060183799996,0.0
900053,37.92065126000006,-106.12999242599994,0.0
900054,37.91752526100004,-106.43877613899997,0.0
900055,37.92304495600007,-106.39017325899994,0.0
900056,37.98230300400007,-105.92843838299996,0.0
900057,37.92735490100006,-105.88939529499999,0.0
900058,37.93651777200006,-105.87255673599998,0.0
900059,37.90164443200007,-105.88278328499996,0.0
900060,37.90810892700006,-105.97402363999998,0.0
900061,37.91139054200005,-105.95396851399994,0.0
900062,37.90103870200005,-106.15549601899994,0.0
900063,37.88955699600007,-105.87602447599994,0.0
900064,37.94435153100005,-105.81009049999994,0.0
900065,37.88678978100006,-106.17281331799995,0.0
900066,37.892304022000076,-105.90702556399998,0.0
900067,37.87434837400008,-105.86796203799997,0.0
900068,37.866789922000066,-105.86692719999996,0.0
900069,37.863714809000044,-105.86168825999994,0.0
900070,37.88831576200005,-105.84796694899995,0.0
900071,37.87944888900006,-105.99261018299995,0.0
900072,37.87238911600008,-107.19395360899995,0.0
900073,37.85950972000006,-107.15057716299998,0.0
900074,37.85928157700005,-105.91175887299994,0.0
900075,37.86973836000004,-106.21430868299996,0.0
900076,37.849104203000024,-105.85311668199995,0.0
900077,37.88473976100005,-105.79882767399994,0.0
900078,37.85010123200004,-106.92092399299997,0.0
900079,37.852142840000056,-106.97378152499999,0.0
900080,37.82464395300008,-107.15634893099997,0.0
900081,37.83489261500006,-107.13993050299996,0.0
900082,37.82609720100004,-105.84632466899996,0.0
900083,37.816289389000076,-106.92976265299995,0.0
900084,37.835199431000035,-106.81657546899999,0.0
900085,37.82760797100008,-105.96358042999998,0.0
900086,37.81348540400006,-106.77873245199999,0.0
900087,37.835217612000065,-106.36955326199995,0.0
900088,37.804999989000066,-106.19666665599999,0.0
900089,37.85396563000006,-106.11233870199999,0.0
900090,37.814140028000054,-106.87651956599996,0.0
900091,37.802091551000046,-106.83820633699997,0.0
900092,37.816181967000034,-106.01935239799997,0.0
900093,37.78713701300006,-107.14962641899996,0.0
900094,37.84224932200004,-105.78520963199998,0.0
900095,37.78514452300004,-105.80655454499998,0.0
900096,37.77606101900005,-107.12048876599994,0.0
900097,37.79175695600003,-107.11561423999996,0.0
900098,37.77655648500007,-106.83429293899997,0.0
900099,37.780214597000054,-106.22936911499994,0.0
900100,37.77830675300004,-107.34865020699999,0.0
900101,37.78266118100004,-105.82464103499996,0.0
900102,37.76347914300004,-105.80489307899995,0.0
900103,37.77794804600006,-106.56843883699997,0.0
900104,37.758483124000065,-106.52106556399997,0.0
900105,37.75303953500003,-107.33683889199995,0.0
900106,37.76068188100004,-107.42248839399997,0.0
900107,37.80925631200006,-105.61783542699999,0.0
900108,37.74479274400005,-105.65044624299998,0.0
900109,37.779833702000076,-106.992931108,0.0
900110,37.74631997600005,-107.18798137599998,0.0
900111,37.729321870000035,-107.29524784599994,0.0
900112,37.736728208000045,-107.07739859199995,0.0
900113,37.72151431000003,-107.02528514699998,0.0
900114,37.733909692000054,-105.78669243899998,0.0
900115,37.74573546900007,-106.24916443099994,0.0
900116,37.71672561400004,-105.80810514099994,0.0
900117,37.71135380800007,-105.85763725699996,0.0
900118,37.712521984000034,-107.25182336299997,0.0
900119,37.71868137300004,-105.69689117899998,0.0
900120,37.75477495100006,-105.95699682999998,0.0
900121,37.70033439500003,-105.84279426399996,0.0
900122,37.724069375000056,-107.37809196699999,0.0
900123,37.72204199200007,-106.51643045899999,0.0
900124,37.70429249000006,-105.77250601199995,0.0
900125,37.69879395800007,-105.74925743299997,0.0
900126,37.72845927700007,-105.60344182499995,0.0
900127,37.69150904000003,-106.46835058999994,0.0
900128,37.69566318100004,-106.42554903999996,0.0
900129,37.70486762000007,-107.00837147099998,0.0
900130,37.68038542600004,-106.42108800399996,0.0
900131,37.683116333000044,-105.79745561599998,0.0
900132,37.68416074500004,-105.76516894199995,0.0
900133,37.724618210000074,-106.72356889799994,0.0
900134,37.67594904900005,-106.64036081999996,0.0
900135,37.70698143000004,-106.65503415399996,0.0
900136,37.68312086800006,-106.56901235099997,0.0
900137,37.67967312500008,-106.36713991699997,0.0
900138,37.65274554200005,-106.66918563099995,0.0
900139,37.66385922200004,-106.64672683199996,0.0
900140,37.662789177000036,-106.34366201599994,0.0
900141,37.67600973700007,-105.73300236799997,0.0
900142,37.66090027800004,-105.76418158499996,0.0
900143,37.67311021100005,-105.69581561699994,0.0
900144,37.64640342000007,-105.73660475599996,0.0
900145,37.680533067000056,-107.05748979199996,0.0
900146,37.64487164700006,-105.75303070999996,0.0
900147,37.64556098000003,-105.74969014999999,0.0
900148,37.70148133600003,-106.84703952599995,0.0
900149,37.641868758000044,-105.65948505599994,0.0
900150,37.63680901400005,-106.66912438199995,0.0
900151,37.618306775000065,-105.86832048899998,0.0
900152,37.63956179300004,-106.25360274999997,0.0
900153,37.608528652000075,-106.70889379799996,0.0
900154,37.586772336000024,-106.21225082399997,0.0
900155,37.61783901900003,-106.43577206999998,0.0
900156,37.57268968300008,-106.75372280099998,0.0
900157,37.550006299000074,-106.78287477299995,0.0
900158,37.54924976800004,-106.77566211499999,0.0
900159,37.55397994000003,-106.49992321999997,0.0
900160,37.55213300400004,-106.49354336699997,0.0
